username,num_nominations,url
Em0n33y,3,https://twitter.com/Em0n33y
vlada_glinskaya,3,https://twitter.com/vlada_glinskaya
DianaPelenur,3,https://twitter.com/DianaPelenur
joujoupufffs,3,https://twitter.com/joujoupufffs
miggseye,3,https://twitter.com/miggseye
hellowoca,3,https://twitter.com/hellowoca
soniupeng,3,https://twitter.com/soniupeng
w3nja,2,https://twitter.com/w3nja
Katy_Mi_Sh,2,https://twitter.com/Katy_Mi_Sh
nikolinapetolas,2,https://twitter.com/nikolinapetolas
i_am_vishenka,2,https://twitter.com/i_am_vishenka
AutumnLeppla5,2,https://twitter.com/AutumnLeppla5
LaughAndBelly,2,https://twitter.com/LaughAndBelly
BruteforceW,2,https://twitter.com/BruteforceW
liannhng,2,https://twitter.com/liannhng
r_chl_,2,https://twitter.com/r_chl_
sim_one_one,2,https://twitter.com/sim_one_one
gabbyairhorn,2,https://twitter.com/gabbyairhorn
ArgentumTim,2,https://twitter.com/ArgentumTim
IpekMorel,2,https://twitter.com/IpekMorel
frida_why,2,https://twitter.com/frida_why
ChiaraMoreni,2,https://twitter.com/ChiaraMoreni
PtiteAngele,2,https://twitter.com/PtiteAngele
lethabohuma,2,https://twitter.com/lethabohuma
kvollstaedt,2,https://twitter.com/kvollstaedt
AbstractartA,2,https://twitter.com/AbstractartA
thesarahshow,2,https://twitter.com/thesarahshow
Hackatao,2,https://twitter.com/Hackatao
klepikovadaria,2,https://twitter.com/klepikovadaria
mis_mizery,2,https://twitter.com/mis_mizery
CrystalPNight,2,https://twitter.com/CrystalPNight
meluhdeeart,2,https://twitter.com/meluhdeeart
ArtLgp,2,https://twitter.com/ArtLgp
DaniellaDoodles,2,https://twitter.com/DaniellaDoodles
artbyjstelco,2,https://twitter.com/artbyjstelco
carla_batley,2,https://twitter.com/carla_batley
dongleehan,2,https://twitter.com/dongleehan
em_bergie,2,https://twitter.com/em_bergie
NatalieCrue,2,https://twitter.com/NatalieCrue
thebutterfleye,2,https://twitter.com/thebutterfleye
Ninocence,2,https://twitter.com/Ninocence
autpops,2,https://twitter.com/autpops
shootthismoment,2,https://twitter.com/shootthismoment
Casey_Chris_,2,https://twitter.com/Casey_Chris_
BerlisSanoja,2,https://twitter.com/BerlisSanoja
paintitbright,2,https://twitter.com/paintitbright
SimonartOnline,2,https://twitter.com/SimonartOnline
AnnaDreamBrush,2,https://twitter.com/AnnaDreamBrush
maalavidaaa,2,https://twitter.com/maalavidaaa
j_e_s_s_w,2,https://twitter.com/j_e_s_s_w
christinacyoung,2,https://twitter.com/christinacyoung
johakroft,2,https://twitter.com/johakroft
jlmaxcy,2,https://twitter.com/jlmaxcy
M0niqueSullivan,2,https://twitter.com/M0niqueSullivan
JaneGreenDream,2,https://twitter.com/JaneGreenDream
lilzidesigns,2,https://twitter.com/lilzidesigns
aurorae_art,2,https://twitter.com/aurorae_art
Eleathyra,2,https://twitter.com/Eleathyra
nftstories,2,https://twitter.com/nftstories
KatSheKittyBast,2,https://twitter.com/KatSheKittyBast
chelseaevenstar,2,https://twitter.com/chelseaevenstar
kenzeezy,2,https://twitter.com/kenzeezy
sarahjphotog,2,https://twitter.com/sarahjphotog
holalou_,2,https://twitter.com/holalou_
LindseyByrnes,2,https://twitter.com/LindseyByrnes
